Data: 9,035,582,489 tokens
Creating model...

============================================================
2-Layer Mechanism Analysis Model Initialized
============================================================
  Embedding Dim:        768
  Heads:                12
  Head Dim:             64
  Block Size:           2048
  Normalization:        layernorm
  Regression Mode:      True
  Parameters:           53.40M
============================================================

Optimizer: 12 weight decay, 21 no decay
Training started!
iter 0: loss=1397463.7500, time=503ms
iter 50: loss=1321721.2500, time=3241ms
iter 100: loss=1264417.3750, time=3219ms
iter 150: loss=1201453.8750, time=3219ms
iter 200: loss=1135407.5000, time=3219ms
iter 250: loss=1067777.8750, time=3219ms
iter 300: loss=998354.9375, time=3219ms
iter 350: loss=929406.5000, time=3218ms
iter 400: loss=858608.0000, time=3217ms
iter 450: loss=789755.0000, time=3217ms
iter 500: loss=723457.5000, time=3218ms
iter 550: loss=658105.1250, time=3794ms
iter 600: loss=599010.0625, time=3217ms
iter 650: loss=539180.4375, time=3218ms
iter 700: loss=490435.3750, time=3220ms
iter 750: loss=445043.8125, time=3231ms
iter 800: loss=390349.8125, time=3258ms
iter 850: loss=375660.5938, time=3276ms
iter 900: loss=332399.8125, time=3275ms
iter 950: loss=348792.9688, time=3275ms
iter 1000: loss=304455.9375, time=3276ms
iter 1050: loss=292841.7500, time=3830ms
iter 1100: loss=282760.3125, time=3290ms
iter 1150: loss=278512.4062, time=3293ms
iter 1200: loss=262069.2031, time=3299ms
iter 1250: loss=312604.4688, time=3307ms
iter 1300: loss=394744.6250, time=3302ms
iter 1350: loss=194931.3281, time=3301ms
iter 1400: loss=192655.9062, time=3301ms
iter 1450: loss=173415.0156, time=3301ms
iter 1500: loss=161328.0000, time=3303ms
iter 1550: loss=138910.8438, time=3871ms
iter 1600: loss=130155.9297, time=3301ms
iter 1650: loss=112130.1094, time=3300ms
iter 1700: loss=139535.2344, time=3300ms
iter 1750: loss=104996.2969, time=3302ms
iter 1800: loss=122651.4844, time=3301ms
iter 1850: loss=92501.9844, time=3298ms
iter 1900: loss=105925.6094, time=3295ms
iter 1950: loss=124446.2031, time=3296ms
iter 2000: loss=137225.0312, time=3300ms
iter 2050: loss=73592.5938, time=3875ms
iter 2100: loss=97368.4375, time=3296ms
iter 2150: loss=73049.1250, time=3295ms
iter 2200: loss=57846.7852, time=3291ms
iter 2250: loss=46955.8672, time=3290ms
iter 2300: loss=69864.6250, time=3289ms
iter 2350: loss=86725.9531, time=3287ms
iter 2400: loss=49774.3984, time=3286ms
iter 2450: loss=71310.4531, time=3287ms
iter 2500: loss=71255.5234, time=3288ms
iter 2550: loss=107297.0000, time=3852ms
iter 2600: loss=93999.8594, time=3286ms
iter 2650: loss=136226.2344, time=3289ms
iter 2700: loss=90989.9219, time=3288ms
iter 2750: loss=49604.2969, time=3283ms
iter 2800: loss=112043.6641, time=3280ms
iter 2850: loss=47680.7500, time=3278ms
iter 2900: loss=39156.8359, time=3279ms
iter 2950: loss=66305.9297, time=3276ms
iter 3000: loss=85023.9297, time=3277ms
iter 3050: loss=98230.8750, time=3830ms
iter 3100: loss=147649.3281, time=3273ms
iter 3150: loss=56361.4062, time=3273ms
iter 3200: loss=87059.3125, time=3274ms
iter 3250: loss=53454.9766, time=3272ms
iter 3300: loss=54831.8086, time=3271ms
iter 3350: loss=100391.6641, time=3272ms
iter 3400: loss=100768.2109, time=3273ms
iter 3450: loss=47446.1172, time=3273ms
iter 3500: loss=65979.7812, time=3270ms
iter 3550: loss=83713.0781, time=3804ms
iter 3600: loss=61631.9648, time=3268ms
iter 3650: loss=107280.2031, time=3267ms
iter 3700: loss=61800.1797, time=3267ms
iter 3750: loss=92749.9844, time=3264ms
iter 3800: loss=36213.8633, time=3263ms
iter 3850: loss=48336.0195, time=3266ms
iter 3900: loss=48294.2734, time=3266ms
iter 3950: loss=130220.1016, time=3267ms
iter 4000: loss=106953.8828, time=3265ms
iter 4050: loss=58101.3125, time=3818ms
iter 4100: loss=55306.1875, time=3263ms
iter 4150: loss=88156.0938, time=3263ms
iter 4200: loss=66996.5781, time=3265ms
iter 4250: loss=79992.4375, time=3261ms
iter 4300: loss=71210.9219, time=3259ms
iter 4350: loss=58968.4297, time=3259ms
iter 4400: loss=115271.9844, time=3259ms
iter 4450: loss=35121.8984, time=3259ms
iter 4500: loss=44806.4062, time=3260ms
iter 4550: loss=55829.5430, time=3788ms
iter 4600: loss=59713.9219, time=3259ms
iter 4650: loss=60128.2422, time=3260ms
